stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,line_id
1,AG,Camino Agrícola,-33.491585,-70.617531,https://www.metro.cl/estacion/,1,L5
2,AH,San Alberto Hurtado,-33.454113,-70.692436,https://www.metro.cl/estacion/,1,L1
3,AL,Alcántara,-33.415325,-70.589453,https://www.metro.cl/estacion/,1,L1
4,AN,Santa Ana (L2-L5),-33.438318,-70.65985,https://www.metro.cl/estacion/NA,1,L2
5,AV,Vespucio Norte,-33.380429,-70.646821,https://www.metro.cl/estacion/AV,1,L2
6,BA,Baquedano (L1-L5),-33.437036,-70.633527,https://www.metro.cl/el-viaje/estado-red,1,L1
7,BE,Bellas Artes,-33.436611,-70.644524,https://www.metro.cl/estacion/,1,L5
8,BI,Francisco Bilbao,-33.431484,-70.584641,https://www.metro.cl/estacion/,1,L4
9,BL,Blanqueado,-33.441505,-70.707321,https://www.metro.cl/estacion/,1,L5
10,BR,Barrancas,-33.452669,-70.739017,https://www.metro.cl/estacion/,1,L5
11,BU,Santiago Bueras,-33.496645,-70.757567,https://www.metro.cl/estacion/,1,L5
12,CA,Puente Cal y Canto (L2-L3),-33.432716,-70.6525,https://www.metro.cl/estacion/PCA,1,L2
13,CB,Cerro Blanco,-33.422554,-70.644974,https://www.metro.cl/estacion/,1,L2
14,CE,Cementerios,-33.414074,-70.643562,https://www.metro.cl/estacion/,1,L2
15,CH,Universidad de Chile (L3-L1),-33.443809,-70.650391,https://www.metro.cl/estacion/UCH,1,L1
16,CN,Ciudad del Niño,-33.510162,-70.65686,https://www.metro.cl/estacion/,1,L2
17,CO,Cristóbal Colón,-33.426224,-70.590973,https://www.metro.cl/estacion/,1,L4
18,CV,Carlos Valdovinos,-33.485641,-70.619652,https://www.metro.cl/estacion/,1,L5
19,DE,Departamental,-33.502556,-70.65464,https://www.metro.cl/estacion/,1,L2
20,DO,Dorsal,-33.396801,-70.642677,https://www.metro.cl/estacion/,1,L2
21,DS,Del Sol,-33.489991,-70.752848,https://www.metro.cl/estacion/,1,L5
22,EA,Elisa Correa,-33.569405,-70.583611,https://www.metro.cl/estacion/,1,L4
23,EC,Ecuador,-33.456047,-70.699669,https://www.metro.cl/estacion/,1,L1
24,PZE,Plaza Egaña (L4-L3),-33.453278,-70.570732,https://www.metro.cl/estacion/PZE,1,L3
25,EI,Einstein,-33.405731,-70.643135,https://www.metro.cl/estacion/,1,L2
26,EL,Estación Central,-33.45097,-70.679169,https://www.metro.cl/estacion/,1,L1
27,EM,Escuela Militar,-33.413752,-70.58325,https://www.metro.cl/estacion/,1,L1
28,EP,El Parrón,-33.526531,-70.661423,https://www.metro.cl/estacion/,1,L2
29,FRA,Franklin(L2-L6),-33.476217,-70.649632,https://www.metro.cl/estacion/FRA,1,L2
30,GA,Príncipe de Gales,-33.439163,-70.57309,https://www.metro.cl/estacion/,1,L4
31,GL,Gruta de Lourdes,-33.438262,-70.690838,https://www.metro.cl/estacion/,1,L5
32,GO,El Golf,-33.416611,-70.595688,https://www.metro.cl/estacion/,1,L1
33,HM,Hernando de Magallanes,-33.407904,-70.556213,https://www.metro.cl/estacion/,1,L1
34,HS,Hospital Sótero del Río,-33.576462,-70.582375,https://www.metro.cl/estacion/,1,L4
35,IRA,Irarrázaval (L5-L3),-33.453766,-70.628773,https://www.metro.cl/estacion/IRA,1,L3
36,JE,San José de la Estrella,-33.553356,-70.586562,https://www.metro.cl/estacion/,1,L4
37,JU,Santa Julia,-33.531105,-70.605499,https://www.metro.cl/estacion/,1,L4A
38,LA,Unión Latino Americana,-33.449467,-70.673203,https://www.metro.cl/estacion/,1,L1
39,LC,La Cisterna (L2-L4A),-33.537376,-70.664381,https://www.metro.cl/estacion/LC,1,L2
40,LD,Los Dominicos,-33.407895,-70.545109,https://www.metro.cl/estacion/,1,L1
41,LEN,Los Leones,-33.422164,-70.60859,https://www.metro.cl/estacion/LEN,1,L1
42,LF,Bellavista de la Florida,-33.519822,-70.599652,https://www.metro.cl/estacion/,1,L5
43,LG,La Granja,-33.541138,-70.615967,https://www.metro.cl/estacion/,1,L4A
44,LH,Los Héroes (L1-L2),-33.446148,-70.660382,https://www.metro.cl/estacion/HE,1,L1
45,LN,El Llano,-33.482703,-70.649445,https://www.metro.cl/estacion/,1,L2
46,LM,La Moneda,-33.444857,-70.654811,https://www.metro.cl/estacion/,1,L1
47,LO,Lo Ovalle,-33.5172,-70.658707,https://www.metro.cl/estacion/,1,L2
48,LP,Los Presidentes,-33.479797,-70.578712,https://www.metro.cl/estacion/,1,L4
49,LQ,Los Quillayes,-33.560627,-70.585289,https://www.metro.cl/estacion/,1,L4
50,LR,Las Rejas,-33.457157,-70.705963,https://www.metro.cl/estacion/,1,L1
51,LS,Laguna Sur,-33.462563,-70.738066,https://www.metro.cl/estacion/,1,L5
52,LT,Las Torres,-33.500034,-70.587074,https://www.metro.cl/estacion/,1,L4
53,LV,Lo Vial,-33.497272,-70.653107,https://www.metro.cl/estacion/,1,L2
54,MA,Mirador,-33.512936,-70.606583,https://www.metro.cl/estacion/,1,L5
55,MC,Macul,-33.508785,-70.589485,https://www.metro.cl/estacion/,1,L4
56,ME,Las Mercedes,-33.602119,-70.577194,https://www.metro.cl/estacion/,1,L4
57,MM,Manuel Montt,-33.428341,-70.619209,https://www.metro.cl/estacion/,1,L1
58,MQ,Manquehue,-33.409251,-70.568734,https://www.metro.cl/estacion/,1,L1
59,MT,Monte Tabor,-33.481816,-70.745165,https://www.metro.cl/estacion/,1,L5
60,NP,Neptuno,-33.451546,-70.722687,https://www.metro.cl/estacion/,1,L1
61,NUB,Ñuble (L5-L6),-33.46719,-70.625186,https://www.metro.cl/estacion/NUB,1,L5
62,OR,Los Orientales,-33.462456,-70.573792,https://www.metro.cl/estacion/,1,L4
63,PA,Las Parcelas,-33.475394,-70.740043,https://www.metro.cl/estacion/,1,L5
64,PB,Parque Bustamante,-33.442787,-70.63163,https://www.metro.cl/estacion/,1,L5
65,PE,Pedrero,-33.507812,-70.612663,https://www.metro.cl/estacion/,1,L5
66,PI,Protectora de la Infancia,-33.589287,-70.579704,https://www.metro.cl/estacion/,1,L4
67,PJ,Pajaritos,-33.457981,-70.715775,https://www.metro.cl/estacion/,1,L1
68,PM,Plaza de Maipú,-33.510522,-70.75723,https://www.metro.cl/estacion/,1,L5
69,PPA,Plaza de Puente Alto,-33.609547,-70.575905,https://www.metro.cl/estacion/PPA,1,L4
70,PQ,Parque O`higgins,-33.460464,-70.656868,https://www.metro.cl/estacion/,1,L2
71,PR,Lo Prado,-33.443298,-70.716412,https://www.metro.cl/estacion/,1,L5
72,PT,Patronato,-33.42963,-70.647064,https://www.metro.cl/estacion/,1,L2
73,PU,Pudahuel,-33.44483,-70.740722,https://www.metro.cl/estacion/,1,L5
74,PV,Pedro de Valdivia,-33.425465,-70.614273,https://www.metro.cl/estacion/,1,L1
75,PZ,Plaza de Armas (L5-L3),-33.43726,-70.650551,https://www.metro.cl/estacion/PZ,1,L3
76,QN,Quinta Normal,-33.440282,-70.680357,https://www.metro.cl/estacion/,1,L5
77,RA,Rodrigo de Araya,-33.477516,-70.622314,https://www.metro.cl/estacion/,1,L5
78,RC,Cumming,-33.439098,-70.668427,https://www.metro.cl/estacion/,1,L5
79,RG,Grecia,-33.468819,-70.576202,https://www.metro.cl/estacion/,1,L4
80,RM,Rojas Magallanes,-33.535854,-70.592773,https://www.metro.cl/estacion/,1,L4
81,RN,San Ramón,-33.541194,-70.643671,https://www.metro.cl/estacion/,1,L4A
82,RO,Rondizzoni,-33.470043,-70.656331,https://www.metro.cl/estacion/,1,L2
83,RP,República,-33.447952,-70.667564,https://www.metro.cl/estacion/,1,L1
84,RQ,Quilín,-33.487999,-70.580231,https://www.metro.cl/estacion/,1,L4
85,SA,Salvador,-33.433107,-70.626585,https://www.metro.cl/estacion/,1,L1
86,SB,Simón Bolivar,-33.445904,-70.572037,https://www.metro.cl/estacion/,1,L4
87,SI,Santa Isabel,-33.447102,-70.630402,https://www.metro.cl/estacion/,1,L5
88,SJ,San Joaquín,-33.498318,-70.61602,https://www.metro.cl/estacion/,1,L5
89,SL,Santa Lucía,-33.442691,-70.64572,https://www.metro.cl/estacion/,1,L1
90,SM,San Miguel,-33.488798,-70.651178,https://www.metro.cl/estacion/,1,L2
91,SP,San Pablo (L1-L5),-33.444218,-70.723302,https://www.metro.cl/el-viaje/estaciones/SP,1,L1
92,SR,Santa Rosa,-33.542511,-70.634125,https://www.metro.cl/estacion/,1,L4A
93,TB,Tobalaba (L1-L4),-33.418145,-70.601353,https://www.metro.cl/estacion/TOB,1,L1
94,TO,Toesca,-33.452965,-70.658577,https://www.metro.cl/estacion/,1,L2
95,TR,Trinidad,-33.54702,-70.587654,https://www.metro.cl/estacion/,1,L4
96,UC,Universidad Católica,-33.440216,-70.640549,https://www.metro.cl/estacion/,1,L1
97,US,Universidad de Santiago,-33.452896,-70.68615,https://www.metro.cl/estacion/,1,L1
98,VV,Vicente Valdés (L4-L5),-33.526337,-70.596756,https://www.metro.cl/estacion/VV,1,L4
99,VMI,Vicuña Mackenna (L4-L4A),-33.519642,-70.596069,https://www.metro.cl/estacion/VIM,1,L4
100,ZA,Zapadores,-33.390938,-70.642441,https://www.metro.cl/estacion/ZA,1,L2
101,CS,Cerrillos,-33.483371,-70.695506,https://www.metro.cl/estacion/,1,L6
102,LVA,Lo Valledor,-33.478283,-70.680678,https://www.metro.cl/estacion/LVA,1,L6
103,PG,Pdte. Pedro Aguirre Cerda,-33.478681,-70.664706,https://www.metro.cl/estacion/,1,L6
104,BB,Bio Bio,-33.476402,-70.641942,https://www.metro.cl/estacion/,1,L6
105,EN,Estadio Nacional,-33.462282,-70.606113,https://www.metro.cl/estacion/,1,L6
106,NUN,Ñuñoa (L3-L6),-33.454265,-70.604892,https://www.metro.cl/estacion/NUN,1,L3
107,IS,Ines de Suárez,-33.438878,-70.607201,https://www.metro.cl/estacion/,1,L6
108,LIB,Los Libertadores,-33.365439,-70.69244,https://www.metro.cl/estacion/LIB,1,L3
109,CAR,Cardenal Caro,-33.373452,-70.686104,https://www.metro.cl/estacion/CAR,1,L3
110,VIV,Vivaceta,-33.385877,-70.679226,https://www.metro.cl/estacion/VIV,1,L3
111,CCH,Conchalí,-33.397985,-70.669546,https://www.metro.cl/estacion/CCH,1,L3
112,PZC,Plaza Chacabuco,-33.406565,-70.661028,https://www.metro.cl/estacion/PZC,1,L3
113,HOS,Hospitales,-33.417663,-70.656373,https://www.metro.cl/estacion/HOS,1,L3
115,PAL,Parque Almagro,-33.451381,-70.650491,https://www.metro.cl/estacion/PAL,1,L3
116,MAT,Avenida Matta,-33.458237,-70.642682,https://www.metro.cl/estacion/MAT,1,L3
117,MEY,Mons. Eyzaguirre,-33.453164,-70.613835,https://www.metro.cl/estacion/MEY,1,L3
118,ESP,Chile-España,-33.454949,-70.59748,https://www.metro.cl/estacion/ESP,1,L3
119,VFR,Villa Frei,-33.454618,-70.580987,https://www.metro.cl/estacion/VFR,1,L3
120,FCV,Fernando Castillo Velasco,-33.452065,-70.55792,https://www.metro.cl/estacion/FCV,1,L3
121,FE,Ferrocarril,-33.36557,-70.705739,https://www.metro.cl/estacion/FER,1,L3
122,LZ,Lo Cruzat,-33.366455,-70.721867,https://www.metro.cl/estacion/LCR,1,L3
123,PL,Plaza Quilicura,-33.365675,-70.728749,https://www.metro.cl/estacion/PQU,1,L3
124,EB,El Bosque,-33.546519,-70.666683,https://www.metro.cl/estacion/,1,L2
125,OB,Observatorio,-33.560366,-70.670477,https://www.metro.cl/estacion/,1,L2
126,CM,Copa Lo Martínez,-33.570888,-70.67342,https://www.metro.cl/estacion/,1,L2
127,HP,Hospital El Pino,-33.582953,-70.676779,https://www.metro.cl/estacion/,1,L2
